,price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
185,113000,Nova Detelinara,50,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
186,131976,Podbara,55,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
187,127300,Podbara,51,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
188,164590,Petrovaradin,79,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0,novo
189,135000,Adamovićevo Naselje,60,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
190,92000,Stari Grad,29,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,1998.0,novo
191,83316,Veternik,45,3.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0,u izgradnji
192,164500,Rotkvarija,56,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
193,197760,Stari Grad,108,5.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0,novo
194,310000,Liman 4,108,3.0,grejanje na gas,2,Penthaus,ima lift (1),1,terasa,8,1998.0,novo
195,126440,Petrovaradin,64,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
196,35000,Petrovaradin,50,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
197,117500,Podbara,48,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,3,1998.0,novo
198,82400,Detelinara,52,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,3,1970.0,uobičajeno stanje
199,288500,Stari Grad,154,5.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1970.0,uobičajeno stanje
200,88690,Telep,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1970.0,novo
201,346600,Liman 3,102,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1970.0,novo
202,122570,Stari Grad,41,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,4,1970.0,uobičajeno stanje
203,113300,Novo Naselje,63,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1979.0,uobičajeno stanje
204,110500,Sajmište,38,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0,u izgradnji
205,94000,Adice,58,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0,u izgradnji
206,58980,Telep,29,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2023.0,u izgradnji
207,193500,Socijalno,67,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2014.0,u izgradnji
208,249000,Tatarsko Brdo,117,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terase (2),1,2014.0,u izgradnji
209,185000,Liman,77,3.0,centralno grejanje,0,Stan u zgradi,ima lift (2),1,terase (2),12,2014.0,održavano
210,96000,Bulevar Patrijarha Pavla,42,2.0,grejanje na gas,2,Stan u zgradi,ima lift (2),1,terasa,2,2014.0,u izgradnji
211,131500,Sajmište,46,2.0,centralno grejanje,0,Stan u zgradi,ima lift (2),1,"dvorište, podrum",2,2014.0,u izgradnji
212,109000,Petrovaradin,53,3.0,grejanje na gas,1,Stan u zgradi,ima lift (1),1,"dvorište, podrum",1,2014.0,novo
